SPEC,STRAT,YEAR,INT,sampleID,right.total.length.mm,left.total.length.mm
4692,346,14951.798,15000,NA,NA,NA
4693,336.7,15249.721,15250,NA,NA,NA
4694,347,14919.416,15000,NA,NA,NA
4695,334.2,15330.678,15500,NA,NA,NA
4696,347.1,14916.177,15000,NA,NA,NA
4697,346,14951.798,15000,NA,NA,NA
4698,343.3,15035.994,15250,NA,NA,NA
4699,316.1,15889.283,16000,NA,NA,NA
4700,308.7,16106.249,16250,NA,NA,NA
4701,308.2,16122.44,16250,NA,NA,NA
4702,338.6,15188.194,15250,NA,NA,NA
4703,344.9,14987.42,15000,NA,NA,NA
4704,315.5,15908.713,16000,NA,NA,NA
4705,314.8,15931.381,16000,NA,NA,NA
4706,344.5,14997.135,15000,NA,NA,NA
4707,346.8,14925.892,15000,NA,NA,NA
4708,349.6,14835.22,15000,NA,NA,NA
4709,348.1,14883.794,15000,NA,NA,NA
4710,316.3,15882.807,16000,NA,NA,NA
4711,306.3,16183.968,16250,NA,NA,NA
4712,347,14919.416,15000,NA,NA,NA
4713,347.9,14890.271,15000,NA,NA,NA
4714,351.6,14770.454,15000,NA,NA,NA
4715,348.5,14870.841,15000,NA,NA,NA
4716,317.7,15837.471,16000,NA,NA,NA
4717,317,15860.139,16000,NA,NA,NA
4718,307.3,16151.585,16250,NA,NA,NA
4719.1,345.5,14967.99,15000,NA,NA,NA
4719.2,345.5,14967.99,15000,NA,NA,NA
4720,344.7,14990.658,15000,NA,NA,NA
4721,348.9,14857.888,15000,NA,NA,NA
4722,350,14822.267,15000,NA,NA,NA
4723,347.4,14906.462,15000,NA,NA,NA
4724,347.1,14916.177,15000,NA,NA,NA
4725,351,14789.884,15000,NA,NA,NA
4726,344.4,15000.373,15250,NA,NA,NA
4727,351.5,14773.693,15000,NA,NA,NA
4728,346.9,14922.654,15000,NA,NA,NA
4729,350,14822.267,15000,NA,NA,NA
4730,349.5,14838.458,15000,NA,NA,NA
4731,351.5,14773.693,15000,NA,NA,NA
4732,345.6,14964.752,15000,NA,NA,NA
4733,352.5,14741.31,14750,NA,NA,NA
4734,344.5,14997.135,15000,NA,NA,NA
4735,345,14984.181,15000,NA,NA,NA
