"","univ.specimenID","pmx","ect","cle","pf5","pga","pgp","tpg","lps","lpt","ds1","ds2","ds3","ldf","stl","mcv","mav","mdf","maf","mpt","mds","ips","ptt","layer.old.to.young"
"485","k.10_105",3.41,10.23,NA,NA,2.6,5.18,7.68,NA,2.54,NA,NA,NA,5.72,60.61,19,14,10,9,5,0,2.4,2,10
"486","k.10_112",3.96,NA,NA,NA,2.92,2.16,5.08,NA,2.22,NA,NA,1.53,5.41,19,14,9,8,5,1,1.2,3,NA,10
"487","k.10_116",1.92,NA,NA,NA,1.79,NA,1.79,NA,1.72,NA,4.26,1.82,2.74,43.43,19,14,9,8,6,2,1,4,10
"488","k.10_118",NA,6.96,NA,NA,1.23,NA,1.23,NA,0.93,NA,NA,1.57,3.92,45.08,19,14,9,8,5,1,1,2,10
"489","k.10_120",2.23,5.99,6.98,NA,1.89,NA,1.89,NA,1.53,2.79,4.21,1.85,4.17,42.54,19,14,10,8,5,3,1,3,10
"490","k.10_122",2.27,6.71,6.68,NA,1.98,NA,1.98,NA,1.17,NA,3.89,1.86,NA,40.64,19,14,10,8,6,2,1,4,10
"491","k.10_124",3.51,NA,9.6,NA,NA,NA,NA,NA,1.8,NA,3.81,1.71,5.12,58.15,19,14,8,7,5,2,NA,3,10
"492","k.10_130",NA,NA,6.67,NA,2.34,NA,2.34,NA,1.63,NA,2.3,NA,4.71,41.48,19,14,9,8,5,1,1,2,10
"493","k.10_132",3.32,NA,NA,NA,2.99,NA,2.99,NA,1.86,NA,NA,1.94,NA,58.15,19,NA,9,9,5,1,1,3,10
"494","k.10_134",2.12,6.47,NA,NA,2.55,NA,2.55,NA,1.87,NA,3.97,1.57,4.83,46.38,19,14,9,8,6,2,1,3,10
"495","k.10_136",NA,11.05,10.95,NA,3.45,7.06,10.51,NA,1.67,NA,3.7,1.99,6.93,65.32,19,14,9,9,6,2,2,4,10
